month_period,id,masterId,propertyId,roomId,numChild,price,commission,range_booking_arrival,num_of_nights,price_per_day,year,month,year_month,used_room_nights,leftover_rooms
2025-10,76473257.35555555,60113452.57349398,158990.0,350464.0,0.0,1219211.8,299620.26666666666,11.422222222222222,3.466666666666667,555389.7322222223,2025,10,2025_10,196.0,-41.0
2025-11,76985078.06060606,60432855.86682394,158990.0,350464.0,0.0,886456.5151515151,203885.0909090909,28.484848484848484,2.272727272727273,389242.5858585859,2025,11,2025_11,108.0,42.0
2025-12,78406222.12,61474911.480148286,158990.0,350464.0,0.0,1184570.76,266218.8,30.92,2.56,460872.008,2025,12,2025_12,85.0,70.0
2026-01,79813159.23809524,58738439.52398606,158990.0,350464.0,0.0,1344179.1904761903,309161.38095238095,21.52380952380953,3.238095238095238,405258.5598639456,2026,1,2026_01,118.0,37.0
2026-02,78558657.16666667,61068387.50015447,158990.0,350464.0,0.0,1245308.6666666667,286421.0,85.66666666666667,3.0,410814.3452380952,2026,2,2026_02,34.0,106.0
2026-03,76776950.71428572,62184185.57156097,158990.0,350464.0,0.0,1643979.0,378115.1428571429,151.14285714285714,3.7142857142857135,444389.9880952381,2026,3,2026_03,26.0,129.0
2022-06,31888793.33333333,57630054.20018536,161014.0,354680.0,0.0,1623000.0,292140.0,2.0,3.0,519000.0,2022,6,2022_06,12.0,18.0
2022-07,32572713.6,57630054.20018536,161014.0,354680.0,0.0,1449000.0,260820.0,8.4,2.2,657000.0,2022,7,2022_07,22.0,9.0
2022-08,33361228.0,57630054.20018536,161014.0,354680.0,0.0,1805833.3333333333,325050.0,10.333333333333334,2.5,716458.3333333334,2022,8,2022_08,31.0,0.0
2022-09,33773275.0,54726461.42516219,161014.0,354680.0,0.0,1519650.0,259362.0,23.375,2.25,672637.5,2022,9,2022_09,23.0,7.0
2022-10,34553728.166666664,57630054.20018536,161014.0,354680.0,0.0,565333.3333333334,101760.0,20.166666666666668,1.3333333333333333,355333.3333333333,2022,10,2022_10,28.0,3.0
2022-11,35978679.5,57630054.20018536,161014.0,354680.0,0.0,1620000.0,291600.0,1.0,2.5,648000.0,2022,11,2022_11,21.0,9.0
2022-12,36011822.333333336,50251681.46679024,161014.0,354680.0,0.0,3555000.0,639900.0,32.333333333333336,4.0,851250.0,2022,12,2022_12,17.0,14.0
2023-01,37339685.333333336,57630054.20018536,161014.0,354680.0,0.0,2107500.0,379350.0,11.666666666666666,2.833333333333333,727500.0,2023,1,2023_01,23.0,8.0
2023-02,38530653.66666666,57630054.20018536,161014.0,354680.0,0.0,3150000.0,567000.0,4.0,4.666666666666667,675000.0,2023,2,2023_02,14.0,14.0
2023-03,39712774.625,57630054.20018536,161014.0,354680.0,0.0,1518750.0,273375.0,1.75,2.0,742500.0,2023,3,2023_03,18.0,13.0
